RandomForestClassifier,GradientBoostingClassifier,KNeighborsClassifier,RidgeClassifier,Perceptron,DecisionTreeClassifier
99.50833333333333,97.84166666666668,78.81666666666666,94.58333333333331,50.35833333333334,98.39166666666668
99.64166666666668,97.6,79.55833333333334,94.55833333333334,49.55,98.25
99.43333333333332,97.975,79.30833333333334,94.71666666666668,50.49166666666667,98.35833333333332
99.63333333333333,97.70833333333331,79.675,94.75833333333334,50.81666666666666,98.2
99.575,98.03333333333332,79.49166666666667,94.66666666666669,87.6,98.29166666666669
99.55833333333334,97.78333333333332,79.58333333333333,94.66666666666669,50.55,98.03333333333332
99.60833333333332,97.75,79.38333333333333,95.13333333333334,50.48333333333333,98.45
99.575,97.74166666666667,80.01666666666667,94.56666666666666,49.73333333333333,98.45
99.51666666666668,97.86666666666667,79.31666666666666,94.73333333333332,50.04166666666666,98.0
99.75833333333334,97.91666666666666,79.175,94.8,49.96666666666666,98.225
99.48333333333332,97.73333333333332,79.38333333333333,94.63333333333334,50.225,98.46666666666668
99.59166666666668,97.89166666666668,79.25,94.99166666666666,49.94166666666667,98.40833333333332
99.39166666666668,97.63333333333334,79.30833333333334,94.55833333333334,50.03333333333333,97.91666666666666
99.53333333333332,97.85833333333332,79.40833333333333,94.675,50.43333333333333,98.33333333333331
99.65,98.0,78.55,94.6,53.725,98.075
99.525,97.73333333333332,78.65833333333333,94.91666666666669,50.40833333333333,98.36666666666667
99.66666666666669,97.88333333333334,79.23333333333333,94.98333333333332,52.35,98.425
99.65833333333332,97.86666666666667,78.53333333333333,94.9,61.2,98.44166666666668
99.59166666666667,97.76666666666667,79.75833333333333,94.975,50.583333333333336,98.225
